Sociedad,ItemCode,Fecha Local,Precio Unit Local,Moneda Local,Proveedor Local,Fecha Internacional,Precio Unit Internacional,Moneda Internacional,Proveedor Internacional
MP,A18110009250,2019-02-20 00:00:00,35,SOL,HYDRAULIC SUPPLY COMPANY SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009252,2019-07-22 00:00:00,3.1,USD,GARIZA BURGOS MANUEL,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009252,2026-04-23 00:00:00,3.6339,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009258,2019-07-30 00:00:00,172.6,USD,COMPAÑIA IMPORTADORA DE REPUESTOS SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009261,2022-08-29 00:00:00,103.884,SOL,SOLUCIONES PESQUERAS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009261,2026-02-09 00:00:00,20.39,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009264,2022-05-05 00:00:00,173.58,USD,F EBERHARDT S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009265,2025-11-14 00:00:00,170,SOL,ALEGRE PISCOCHE LUIS JULIO,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009268,2020-08-21 00:00:00,180.77,USD,TECNIFAJAS S.A.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009269,2021-10-21 00:00:00,19.06,SOL,SOLUCIONES PESQUERAS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009269,2024-10-24 00:00:00,5.932,SOL,FERSANTA S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SUF,A18110009269,2026-01-13 00:00:00,4.2857,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009271,2021-07-01 00:00:00,9.5148,SOL,SOLUCIONES PESQUERAS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009271,2026-04-17 00:00:00,5.41,USD,JOSLYN PERU S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009273,2025-07-24 00:00:00,17.5,USD,COINTET S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009274,2019-10-15 00:00:00,567.8,SOL,RODIMPORT S.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009274,2020-08-21 00:00:00,127.97,USD,TECNIFAJAS S.A.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009280,2021-12-22 00:00:00,195.5,USD,DUCASSE COMERCIAL S.A.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009281,2021-01-15 00:00:00,30.47,USD,SOLUTION SUPPLY SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009283,2021-12-09 00:00:00,98,SOL,RODRIGUEZ RAMIREZ JULIO JUNIOR,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009284,2019-11-13 00:00:00,1.01,USD,GARIZA BURGOS MANUEL,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009284,2026-04-17 00:00:00,1.68,USD,JOSLYN PERU S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009285,2026-03-26 00:00:00,9.4286,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009285,2024-10-24 00:00:00,38.136,SOL,FERSANTA S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SUF,A18110009285,2026-06-18 00:00:00,9.4286,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
