Sociedad,ItemCode,Fecha Local,Precio Unit Local,Moneda Local,Proveedor Local,Fecha Internacional,Precio Unit Internacional,Moneda Internacional,Proveedor Internacional
SP,250600001,2025-06-24 00:00:00,44.0678,SOL,FABRICACIONES SANTA INES S.A.C. - FABSI S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000104,2019-06-13 00:00:00,12.7119,SOL,RUBIO MORENO JUAN ARISTOTELES,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000107,2026-06-10 00:00:00,5.08,USD,COMERCIAL CISGE S.A.C.,2026-06-23 00:00:00,4.03,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000108,2022-08-15 00:00:00,2,USD,SOLUCIONES HIDRAULICAS Y MINERAS E.I.R.L.  SOHIMIN E.I.R.L.,2023-07-06 00:00:00,2.0185,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000109,2022-08-15 00:00:00,2,USD,SOLUCIONES HIDRAULICAS Y MINERAS E.I.R.L.  SOHIMIN E.I.R.L.,2023-07-22 00:00:00,2.0185,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000112,2026-04-14 00:00:00,1.68,USD,DIVESA SERVICE S.A.,2025-02-28 00:00:00,15.1375,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000114,2023-01-24 00:00:00,0.5,USD,EMCO INDUSTRIA EIRL,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110000121,2020-12-30 00:00:00,77.7,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000128,2024-09-23 00:00:00,1290,SOL,BRAMMERTZ INGENIEROS S.A.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110000130,2020-09-30 00:00:00,1210.5,USD,HYDRAULIC SUPPLY COMPANY S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000138,2022-04-11 00:00:00,146.245,USD,GRAMSA DISTRIBUIDORA S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000157,2025-05-02 00:00:00,88,USD,PROJECT AUTOMATION PERU S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000166,2026-02-10 00:00:00,35,USD,COMPAÑIA IMPORTADORA DE REPUESTOS SOCIEDAD ANONIMA CERRADA,2024-06-12 00:00:00,166.73,EUR,DANA SAC SOUTH AMÉRICA INDÚSTRIA E COMÉRCIO DE TRANSMISSÕES LTDA.
SP,A18110000174,2020-09-07 00:00:00,53.0399,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000180,2019-07-30 00:00:00,1.199,USD,TECNIFAJAS S.A.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000188,2026-04-09 00:00:00,16,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000194,2026-04-09 00:00:00,36,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000211,2026-05-18 00:00:00,14.66,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000241,2026-04-09 00:00:00,8.34,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000244,2026-05-07 00:00:00,2.2,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000246,2026-04-09 00:00:00,14.18,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000250,2024-05-08 00:00:00,24,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000259,2021-09-13 00:00:00,581.4,USD,JORLE INDUSTRIAL S.A.C.,2024-09-02 00:00:00,423.08,EUR,NORD FLUID S.P.A.
MP,A18110000265,2021-10-06 00:00:00,1061.27,SOL,SOLUCIONES PESQUERAS S.A.C.,2026-05-26 00:00:00,308.76,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000265,2020-10-29 00:00:00,204.9,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000270,2021-10-06 00:00:00,1556.26,SOL,SOLUCIONES PESQUERAS S.A.C.,2026-02-27 00:00:00,447.72,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000270,2020-02-03 00:00:00,918.4,SOL,MARCO PERUANA S A,2021-06-29 00:00:00,286.0962,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000280,2021-10-06 00:00:00,100.59,SOL,SOLUCIONES PESQUERAS S.A.C.,2026-03-17 00:00:00,38.22,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000280,2021-01-27 00:00:00,31.655,USD,MARCO PERUANA S A,2021-03-12 00:00:00,24.4218,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000282,2020-10-12 00:00:00,391.5972,USD,SOLUCIONES PESQUERAS S.A.C.,2022-06-10 00:00:00,440.7116,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000282,2020-02-03 00:00:00,1204.11,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110000284,2020-02-14 00:00:00,958.84,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110000290,2020-07-22 00:00:00,200.6298,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000292,2023-05-31 00:00:00,193,USD,KARLA FIORELLA GAGO SOLORZANO,2024-02-23 00:00:00,291.3,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000294,2021-09-13 00:00:00,427.5,USD,JORLE INDUSTRIAL S.A.C.,2023-04-20 00:00:00,410.4363,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000303,2021-09-13 00:00:00,364.8,USD,JORLE INDUSTRIAL S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000304,2021-09-13 00:00:00,365.75,USD,JORLE INDUSTRIAL S.A.C.,2024-06-11 00:00:00,258.07,EUR,NORD FLUID S.P.A.
MP,A18110000314,2021-09-13 00:00:00,351.5,USD,JORLE INDUSTRIAL S.A.C.,2026-06-24 00:00:00,310.8,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000317,2020-10-29 00:00:00,21.59,USD,SOLUCIONES PESQUERAS S.A.C.,2026-01-15 00:00:00,28.78,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000318,2021-09-23 00:00:00,1939.37,SOL,SOLUCIONES PESQUERAS S.A.C.,2023-09-25 00:00:00,747.7,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000321,2020-06-01 00:00:00,707.01,SOL,SOLUCIONES PESQUERAS S.A.C.,2019-02-12 00:00:00,188.2104,USD,EATON INDUSTRIES (CHILE) SPA
SP,A18110000321,2020-02-03 00:00:00,670.71,SOL,MARCO PERUANA S A,2021-05-21 00:00:00,162.8042,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000324,2021-02-22 00:00:00,1437.028,USD,SOLUCIONES PESQUERAS S.A.C.,2026-03-12 00:00:00,1762.69,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000325,2021-03-02 00:00:00,241.1818,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000327,2021-09-13 00:00:00,369.55,USD,JORLE INDUSTRIAL S.A.C.,2024-08-22 00:00:00,270.95,EUR,NORD FLUID S.P.A.
MP,A18110000333,2021-09-13 00:00:00,380,USD,JORLE INDUSTRIAL S.A.C.,2025-12-16 00:00:00,298.39,EUR,NORD FLUID S.P.A.
MP,A18110000340,2021-09-13 00:00:00,361,USD,JORLE INDUSTRIAL S.A.C.,2024-10-14 00:00:00,265.69,EUR,NORD FLUID S.P.A.
MP,A18110000341,2021-09-13 00:00:00,429.4,USD,JORLE INDUSTRIAL S.A.C.,2026-04-14 00:00:00,313.81,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000343,2021-02-18 00:00:00,128.27,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000355,2020-11-17 00:00:00,163.085,USD,STAFF REPRESENTACIONES S.A.,2020-12-11 00:00:00,73.44,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000362,2021-10-21 00:00:00,72.03,SOL,SOLUCIONES PESQUERAS S.A.C.,2026-01-15 00:00:00,27.39,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000362,2020-02-03 00:00:00,67.49,SOL,MARCO PERUANA S A,2021-03-12 00:00:00,17.5032,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000373,2021-09-23 00:00:00,69.81,SOL,SOLUCIONES PESQUERAS S.A.C.,2026-01-15 00:00:00,26.52,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000375,2021-06-04 00:00:00,283.32,USD,SOLUCIONES PESQUERAS S.A.C.,2024-04-10 00:00:00,289.08,EUR,NORD FLUID S.P.A.
SP,A18110000385,2020-02-03 00:00:00,340.2,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000391,2024-05-10 00:00:00,40,USD,OLEOHIDRAULICS SERVICES S.A.C.,2025-06-17 00:00:00,16.52,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000391,2020-02-14 00:00:00,50.74,SOL,MARCO PERUANA S A,2020-03-31 00:00:00,10.74,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000420,2021-09-23 00:00:00,113.41,SOL,SOLUCIONES PESQUERAS S.A.C.,2026-03-31 00:00:00,42.7952,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000435,2023-09-25 00:00:00,359.62,USD,POWERMATIC S A,2025-09-27 00:00:00,472.9564,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000441,2021-01-27 00:00:00,12.26,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000449,2023-09-27 00:00:00,38.43,USD,POWERMATIC S A,2024-07-31 00:00:00,44.82,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000458,2023-05-30 00:00:00,93.22,USD,"CERDAN ROJAS, ESTHEFANY SHIRLEY",No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000462,2024-05-10 00:00:00,48,USD,OLEOHIDRAULICS SERVICES S.A.C.,2026-01-15 00:00:00,25.29,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000462,2020-02-14 00:00:00,55.52,SOL,MARCO PERUANA S A,2020-03-31 00:00:00,15.5712,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000489,2023-09-25 00:00:00,56.18,USD,POWERMATIC S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000496,2021-09-07 00:00:00,69.3016,USD,JORLE INDUSTRIAL S.A.C.,2022-06-10 00:00:00,37.156,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000499,2021-01-27 00:00:00,0.24,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000500,2023-09-27 00:00:00,5.15,USD,POWERMATIC S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000529,2024-08-26 00:00:00,180,USD,SIDEREAL E.I.R.L.,2021-01-15 00:00:00,162.6,USD,DAMAN PRODUCTS COMPANY INC
MP,A18110000530,2024-10-23 00:00:00,1100,SOL,GRUPO PAEZ S.A.C.,2024-02-29 00:00:00,609.1429,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000531,2025-06-24 00:00:00,295,USD,SIDEREAL E.I.R.L.,2021-01-15 00:00:00,129,USD,DAMAN PRODUCTS COMPANY INC
MP,A18110000536,2026-05-28 00:00:00,300,USD,LHM HYDRAULICS PERU S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000537,2021-08-16 00:00:00,120,USD,ABC OLEODINAMICA S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000539,2021-10-21 00:00:00,2054.78,SOL,SOLUCIONES PESQUERAS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000571,2019-11-26 00:00:00,17.5,USD,SOLUTION SUPPLY SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000572,2019-07-05 00:00:00,16.8,USD,SOLUTION SUPPLY SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000573,2022-12-14 00:00:00,15.89,USD,SOLUTION SUPPLY SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000577,2021-01-15 00:00:00,12.69,USD,SOLUTION SUPPLY SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110000578,2020-06-08 00:00:00,406.67,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000579,2025-11-20 00:00:00,85,SOL,FERRETERIA Y REPUESTOS HIDRAULICOS MARLON S.A.C. - FERHIMAR S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000580,2025-10-16 00:00:00,64.16,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000581,2019-04-29 00:00:00,605,SOL,HYDRAULIC SUPPLY COMPANY SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000582,2025-11-13 00:00:00,25.88,USD,SERVICIOS GENERALES GISSELA S.A.C,2025-10-23 00:00:00,50.4857,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000627,2019-11-18 00:00:00,1268,SOL,TALLERES LAMPERT SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000629,2026-02-13 00:00:00,21.8,USD,DIVESA SERVICE S.A.,2022-03-29 00:00:00,16.8676,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000651,2025-02-11 00:00:00,207.92,USD,POWERMATIC S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110000671,2020-06-19 00:00:00,164.2515,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000683,2025-01-10 00:00:00,253.34,USD,POWERMATIC S A,2022-09-30 00:00:00,219.85,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000713,2025-07-10 00:00:00,345,USD,SOUTHECK SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000729,2025-10-30 00:00:00,78.5,SOL,GRUPO PAEZ S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110000742,2020-09-15 00:00:00,237.29,USD,JG HYDRAULIK SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110000747,2020-12-30 00:00:00,134.26,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000749,2025-08-14 00:00:00,54.52,USD,OHS INDUSTRIALES E.I.R.L.,2026-04-28 00:00:00,174.83,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000750,2020-11-03 00:00:00,132.2078,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000766,2023-11-27 00:00:00,2039.95,SOL,TALLERES LAMPERT SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000770,2026-03-09 00:00:00,378,USD,SOUTHECK SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000781,2020-09-17 00:00:00,5.59,USD,OHS INDUSTRIALES E.I.R.L.,2019-07-17 00:00:00,51.69,USD,EATON INDUSTRIES (CHILE) SPA
MP,A18110000806,2025-02-11 00:00:00,26.6912,USD,POWERMATIC S A,2019-03-04 00:00:00,22.33,USD,EATON INDUSTRIES (CHILE) SPA
MP,A18110000864,2021-10-04 00:00:00,2.9912,SOL,MUNDO HIDRAULICO SAC.,2025-04-28 00:00:00,2.9736,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000870,2022-04-21 00:00:00,350,SOL,TALLER DE MECANICA DINAMIC S.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000886,2022-06-16 00:00:00,5.51,SOL,MUNDO HIDRAULICO SAC.,2021-12-18 00:00:00,1.7955,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000887,2022-06-16 00:00:00,4.24,SOL,MUNDO HIDRAULICO SAC.,2025-06-13 00:00:00,1.95,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000891,2022-06-16 00:00:00,0.85,SOL,MUNDO HIDRAULICO SAC.,2019-01-10 00:00:00,0.23,USD,EATON INDUSTRIES (CHILE) SPA
MP,A18110000965,2026-04-07 00:00:00,105,USD,FRI DEL PERU S.A.C.,2025-08-02 00:00:00,39.5,EUR,FOX SRL
SP,A18110000965,2021-03-29 00:00:00,47.7,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000966,2025-09-29 00:00:00,127.119,USD,JG HYDRAULIK SOCIEDAD ANONIMA CERRADA,2026-06-11 00:00:00,31,EUR,FOX SRL
SP,A18110001014,2020-02-03 00:00:00,2087.56,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001016,2020-02-03 00:00:00,208.69,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001017,2020-02-03 00:00:00,970.11,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001018,2020-02-03 00:00:00,1517.4,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001019,2020-02-03 00:00:00,1222.14,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001020,2020-02-03 00:00:00,149.12,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001021,2021-03-23 00:00:00,379.3421,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001022,2020-02-03 00:00:00,184.24,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001023,2020-02-03 00:00:00,71.34,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001026,2020-02-03 00:00:00,1018.78,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001027,2020-02-03 00:00:00,453.93,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001030,2021-01-18 00:00:00,132.56,USD,SOLUCIONES PESQUERAS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001030,2020-02-03 00:00:00,407.61,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001031,2020-02-03 00:00:00,570.27,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001032,2020-02-14 00:00:00,212.96,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001033,2020-02-03 00:00:00,396.06,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001036,2020-02-03 00:00:00,114.46,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001039,2020-02-03 00:00:00,585.45,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001044,2021-03-16 00:00:00,21.4116,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001047,2020-02-03 00:00:00,438.25,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001048,2020-02-03 00:00:00,156.34,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001050,2020-02-14 00:00:00,113.31,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001051,2019-06-04 00:00:00,98,USD,HYDRAULIC SUPPLY COMPANY SAC,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001051,2020-02-03 00:00:00,129.14,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001052,2020-02-03 00:00:00,253.11,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001057,2020-02-14 00:00:00,252.54,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001064,2020-02-14 00:00:00,13.58,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001066,2020-02-14 00:00:00,58,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001067,2025-04-22 00:00:00,550,SOL,ALEGRE PISCOCHE LUIS JULIO,2025-11-11 00:00:00,43.8,EUR,WALVOIL S.P.A
SP,A18110001067,2020-02-03 00:00:00,172.82,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001069,2020-02-03 00:00:00,123.58,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001070,2025-10-02 00:00:00,260,USD,JP SERVICIOSINDUSTRIALES SAC,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001070,2020-02-03 00:00:00,464.51,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001071,2020-10-02 00:00:00,32.047,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001075,2021-01-18 00:00:00,90.97,USD,SOLUCIONES PESQUERAS S.A.C.,2019-05-24 00:00:00,63.51,EUR,WALVOIL S.P.A
SP,A18110001075,2020-02-03 00:00:00,279.72,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001076,2020-02-03 00:00:00,405.51,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001080,2020-02-03 00:00:00,15.84,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001081,2020-02-03 00:00:00,95.34,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001083,2020-02-03 00:00:00,642.48,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001084,2020-02-03 00:00:00,299.73,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001085,2020-02-03 00:00:00,120.65,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001090,2021-01-18 00:00:00,54.87,USD,SOLUCIONES PESQUERAS S.A.C.,2019-05-24 00:00:00,38.31,EUR,WALVOIL S.P.A
SP,A18110001090,2020-02-03 00:00:00,168.72,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001091,2020-02-03 00:00:00,146.98,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001096,2025-01-17 00:00:00,175,USD,SOUTHECK SAC,2026-01-20 00:00:00,77.53,EUR,WALVOIL S.P.A
SP,A18110001096,2020-02-03 00:00:00,278.51,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001097,2020-02-03 00:00:00,74.28,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001105,2021-02-16 00:00:00,1.7436,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001111,2020-07-22 00:00:00,37.63,USD,SOLUCIONES PESQUERAS S.A.C.,2018-11-29 00:00:00,24.8,EUR,WALVOIL S.P.A
SP,A18110001111,2020-02-03 00:00:00,110.08,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001112,2026-03-04 00:00:00,24,USD,SOUTHECK SAC,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001113,2020-02-14 00:00:00,145.63,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001115,2020-02-03 00:00:00,41.36,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001118,2025-12-24 00:00:00,90,SOL,ALEGRE PISCOCHE LUIS JULIO,2025-04-11 00:00:00,2.56,EUR,WALVOIL S.P.A
SP,A18110001118,2020-02-03 00:00:00,9.3,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001119,2020-11-25 00:00:00,5.91,USD,SOLUCIONES PESQUERAS S.A.C.,2019-02-19 00:00:00,1.25,EUR,WALVOIL S.P.A
SP,A18110001119,2020-02-03 00:00:00,5.37,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001125,2020-02-14 00:00:00,2758,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001131,2025-10-17 00:00:00,3.016,USD,COMERCIAL CISGE S.A.C.,2026-01-15 00:00:00,5.118,USD,INDUSTRIAL GLOBAL SALES
MP,A18110001135,2024-06-26 00:00:00,16.949,SOL,FERSANTA SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001136,2019-01-24 00:00:00,4.5,SOL,HYDRAULIC SUPPLY COMPANY SAC,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001138,2020-02-14 00:00:00,20492.33,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001139,2020-02-03 00:00:00,547.94,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001169,2020-02-14 00:00:00,319.53,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001170,2020-02-14 00:00:00,466.29,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001172,2020-02-14 00:00:00,154.1,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110001173,2020-02-14 00:00:00,303,SOL,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001182,2023-04-19 00:00:00,31.5,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001183,2019-03-13 00:00:00,16.9492,SOL,RUBIO MORENO JUAN ARISTOTELES,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001194,2021-06-22 00:00:00,474.58,SOL,ALLTRONICS PERU SAC,2020-04-29 00:00:00,97,EUR,FOX SRL
MP,A18110001219,2025-07-21 00:00:00,9.8,SOL,PUSH PRINT SOCIEDAD ANONIMA CERRADA PUSH PRINT S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001224,2020-11-25 00:00:00,11.5,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001225,2019-08-05 00:00:00,148.63,USD,PRECISION PERU S.A.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001233,2026-04-09 00:00:00,18.5,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001235,2019-05-14 00:00:00,2.54,SOL,MANUFACTURAS ELECTRICAS S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001237,2024-12-20 00:00:00,10.33,USD,SOLUTION SUPPLY SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110001238,2022-09-14 00:00:00,5.9322,SOL,PERNO CENTRO LA HEROICA E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
