"Codigo_SAP"	"Codigo_GET"	"Codigo_Barra"	"Categoria"	"Ferreteria"	"Marca"	"Descripcion"	"UM"	"Rotacion"	"Antiguedad"	"Costo S/."	"Costo_K_USD"	"Costo_M_USD"	"Precio de lista"	"Último precio de compra"	"Última moneda de compra"	"Última fecha de compra"	"Stock Total"	"Comprometido"	"En OV"	"En OF"	"En Transito"	"Linea de Negocio"	"ID_Rotacion"	"ID_Antiguedad"	"ID_Aprobacion_Planeamiento"	"IMPORTACIONES"	"CALLAO"	"CALLAO - PRODUCCION"	"CALLAO - RESEMIN"	"CALLAO - LA CHALACA"	"CALLAO - DEFECTUOSOS"	"CALLAO - RESERVADOS"	"CALLAO - EXHIBICION"	"LIMA - RANSA"	"LIMA - RANSA DEFECTUOSOS"	"TRANSITO"	"PIURA - KMMP"	"LAS BAMBAS"	"LIMA - BLENDING"	"PIURA - AG CHIRA"	"CHIMBOTE - CD"	"AREQUIPA - CD"	"ILO - CD"	"ILO - SOUTHERN"	"TRUJILLO - CD"	"TRUJILLO - LINEA"	"ANTAPACCAY"	"RESEMIN"	"COSAPI"	"ENTREGA EPPS"	"SETTING"	"CALLAO - SIN ROTACIÓN"	"TALLER"	"DROPSHIP"	"CALLAO - RECLAMOS"	"ELECTRÓNICA"	"FILTRACIÓN"	"FRIO"	"HERRAMIENTAS HIDRAÚLICAS"	"HIDRAÚLICA NAVAL"	"HIDRAÚLICA TERRESTRE"	"LUBRICACIÓN ESPECIAL"	"LUBRICACIÓN INDUSTRIAL"	"POSADA"	"PRE-DESPACHO"	"RECSOL"	"QUEMA"	"SISTEMA DE LUBRICACIÓN"	"LIMA - RANSA REPARACIONES"	"LIMA - RANSA RECLAMOS"	"TRANSMISIÓN DE POTENCIA"	"RELSA"	"LABORATORIO LUBRICACIÓN MINERÍA"	"LIMA - RANSA RESERVADOS"	"ILO - RESERVADOS"	"CALLAO-CONTROL"	"APM - CALLAO"	"PCGE"	"ILO-QUELLAVECO"	"UNICON JICAMARCA"	"PRE-INGRESO"	"UNICON YERBABUENA"	"AREQUIPA - RESERVA"	"AREQUIPA - EXHIBICIÓN"	"ATLAS HYDRAULICS"	"CHINALCO"	"PRE-INGRESO (LOCAL)"	"NUEVOS ALMACENES NO REGISTRADOS"
"A19010000792"	"41219800000"	""	"Repuestos"	""	"BREVINI"	"Junta torica 2-162 145,72 X 2,62"	"PZ"	"0"	"0"	"5.38"	"1.42"	"0"	"1.98"	"1.43"	"USD"	"2024-06-03"	"0"	"0"	"0"	"0"	"0"	"TRANSM. DE POTENCIA"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A19010000794"	"36200840000"	""	"Repuestos"	""	"BREVINI"	"Laina, DE 150, DI 111"	"PZ"	"0"	"2"	"59.6"	"16.11"	"16.17"	"24.69"	"16.2333"	"USD"	"2024-03-25"	"1"	"0"	"0"	"0"	"0"	"TRANSM. DE POTENCIA"	"0"	"2"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A19010000795"	"36201140000"	""	"Repuestos"	""	"BREVINI"	"Laina, DE 165, DI 125"	"PZ"	"0"	"0"	"72.815"	"19.715"	"0"	"30.17"	"19.8334"	"USD"	"2024-03-25"	"0"	"0"	"0"	"0"	"0"	"TRANSM. DE POTENCIA"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A19010000796"	"43842640100"	""	"Repuestos"	""	"BREVINI"	"PASADOR Spirol 12x40"	"PZ"	"0"	"3"	"7.87"	"2.26"	"2.16"	"3.48"	"2.76"	"USD"	"2023-01-02"	"1"	"0"	"0"	"0"	"0"	"TRANSM. DE POTENCIA"	"0"	"3"	"Y"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A19010000797"	"9000970"	""	"Repuestos"	""	"BREVINI"	"CORONA E150/18F-Z65M4"	"PZ"	"0"	"0"	"3063.6433"	"829.58"	"0"	"1269.36"	"834.5533"	"USD"	"2024-03-25"	"0"	"0"	"0"	"0"	"0"	"TRANSM. DE POTENCIA"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A19010000798"	"9000550"	""	"Repuestos"	""	"BREVINI"	"SOPORTE S300-F-S300-S400"	"PZ"	"0"	"0"	"1851.315"	"501.305"	"0"	"767.05"	"504.31"	"USD"	"2024-03-25"	"0"	"0"	"0"	"0"	"0"	"TRANSM. DE POTENCIA"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A19010000799"	"9000683"	""	"Repuestos"	""	"BREVINI"	"BULON S400"	"PZ"	"0"	"0"	"152.5956"	"41.32"	"0"	"63.23"	"41.5678"	"USD"	"2024-03-25"	"0"	"0"	"0"	"0"	"0"	"TRANSM. DE POTENCIA"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A19010000800"	"9000567"	""	"Repuestos"	""	"BREVINI"	"CORONA S400/35F-Z70M5"	"PZ"	"0"	"0"	"4993.3867"	"1302.7367"	"0"	"2068.91"	"1360.2233"	"USD"	"2024-03-25"	"0"	"0"	"0"	"0"	"0"	"TRANSM. DE POTENCIA"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A19010000801"	"9001335"	""	"Repuestos"	""	"BREVINI"	"PIÑON SOLAR S300/Z14M5/6/B40"	"PZ"	"0"	"0"	"1260.54"	"372.41"	"0"	"413.79"	"371.4"	"USD"	"2020-05-11"	"0"	"0"	"0"	"0"	"0"	"TRANSM. DE POTENCIA"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A19010000802"	"9000557"	""	"Repuestos"	""	"BREVINI"	"BRIDA INTERMEDIA S400/S400-E150"	"PZ"	"0"	"0"	"2929.02"	"764.16"	"0"	"1213.58"	"797.88"	"USD"	"2024-03-25"	"0"	"0"	"0"	"0"	"0"	"TRANSM. DE POTENCIA"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
